Haitong International Securities Company Limited,CMB International Capital Limited,1
Haitong International Securities Company Limited,SPDB International Capital Limited,1
Haitong International Securities Company Limited,BOCI Asia Limited,3
Haitong International Securities Company Limited,CLSA Limited,7
Haitong International Securities Company Limited,Macquarie Capital Limited,1
Haitong International Securities Company Limited,China Merchants Securities (HK) Co. Limited,2
Haitong International Securities Company Limited,China Securities (International) Corporate Finance Company Limited,1
Haitong International Securities Company Limited,ICBC International Securities Limited,1
Haitong International Securities Company Limited,Goldman Sachs (Asia) L.L.C.,1
Haitong International Securities Company Limited,Huatai Financial Holdings (Hong Kong) Limited,2
Haitong International Securities Company Limited,Merrill Lynch (Asia Pacific) Limited,1
Haitong International Securities Company Limited,UBS AG Hong Kong Branch,1
