company,oc_date,sponsors,others,document_url
"Hanx Biopharmaceuticals (Wuhan) Co., Ltd.","02/06/2025","ICBC","CLSA; China Securities; CMS; Haitong; CCB","https://www1.hkexnews.hk/app/sehk/2025/107420/documents/sehk25060203419.pdf"
"Beijing 51World Digital Twin Technology Co., Ltd.","30/05/2025","CICC; Huatai","CMB; China Securities","https://www1.hkexnews.hk/app/sehk/2025/107417/documents/sehk25053002718.pdf"
"Sainte Nutritional Inc.","30/05/2025","","CLSA","https://www1.hkexnews.hk/app/sehk/2025/107416/documents/sehk25053002638.pdf"
"Shandong Kuailv Technology Development Co., Ltd.","30/05/2025","","BOCOM; CCB; ICBC","https://www1.hkexnews.hk/app/sehk/2025/107387/documents/sehk25053002516.pdf"
"Easylive Group Inc.","29/05/2025","","Ping An Securities","https://www1.hkexnews.hk/app/sehk/2025/107408/documents/sehk25052902099.pdf"
"Shanghai Forest Cabin Biological-Tech Co., Ltd.","29/05/2025","","CLSA; Huatai","https://www1.hkexnews.hk/app/sehk/2025/107409/documents/sehk25052902089.pdf"
"Beijing DeepZero Technology Co., Ltd.","28/05/2025","","ICBC","https://www1.hkexnews.hk/app/sehk/2025/107403/documents/sehk25052801647.pdf"
"Shanghai Keying E-Commerce Co., Ltd.","28/05/2025","","China Securities; GF Securities","https://www1.hkexnews.hk/app/sehk/2025/107404/documents/sehk25052801777.pdf"
"BASiC Semiconductor Co., Ltd.","27/05/2025","","CLSA; Sinolink Securities; BOCI Asia","https://www1.hkexnews.hk/app/sehk/2025/107398/documents/sehk25052700713.pdf"
"FS.COM Limited","27/05/2025","","CICC; China Securities; CMS","https://www1.hkexnews.hk/app/sehk/2025/107401/documents/sehk25052701650.pdf"
"Muyuan Foods Co., Ltd.","27/05/2025","","Morgan Stanley; CLSA","https://www1.hkexnews.hk/app/sehk/2025/107397/documents/sehk25052700266.pdf"
"Shanghai Top Numerical Control Technology Co., Ltd.","26/05/2025","","Guotai Junan; CCB","https://www1.hkexnews.hk/app/sehk/2025/107396/documents/sehk25052601736.pdf"
"Elpiscience Biopharmaceuticals, Inc.","23/05/2025","CLSA","","https://www1.hkexnews.hk/app/sehk/2025/107393/documents/sehk25052301874.pdf"
"Freetech (Zhejiang) Intelligent Technology Co., Ltd.","23/05/2025","CLSA; CICC; Huatai; The Hongkong and Shanghai Banking","Deutsche Bank","https://www1.hkexnews.hk/app/sehk/2025/107391/documents/sehk25052300202.pdf"
"Jiangsu New Vision Automotive Electronics Co., Ltd.","23/05/2025","Haitong; CLSA","BOCI Asia","https://www1.hkexnews.hk/app/sehk/2025/107351/documents/sehk25052301512.pdf"
